NAME,Total Enrollment,Total Revenue
SAUK PRAIRIE SCHOOL DISTRICT,2785,39756
SAUK RAPIDS SCH DIST 47,4647,61551
SAULT SAINTE MARIE SCH DIST,2017,25666
SAUNEMIN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 438,113,2799
SAUQUOIT VALLEY CTL SCH DIST,1025,22312
SAUSALITO ELEM SCHOOL DIST,119,10294
SAVAGE ELEM SCH DIST 7 J,82,937
SAVAGE H S DIST 2,26,1408
SAVANNA ELEM SCH DIST,2199,35609
SAVANNA SCH DIST 30,403,4521
SAVANNAH SCH DIST R 3,2339,23199
SAVANNAH-CHATHAM COUNTY PUBLIC SCHOOL SYSTEM,37576,572063
SAVOY IND SCH DISTRICT 911,322,4546
SAVOY TOWN SCHS,63,1197
SAWYER SCH DIST 16,44,1840
SAYDEL CONSOLIDATED SCHOOL DISTRICT,1359,22081
SAYRE AREA SCH DISTRICT,1086,19745
SAYRE SCH DIST 31,730,7841
SAYREVILLE BORO SCH DIST,6237,112662
SAYVILLE UNION FREE SCHOOL DIST,2903,92851
SCALES MOUND COMMUNITY UNIT SCHOOL DISTRICT 211,258,6757
SCAPPOOSE SCH DIST 1J,2429,29457
SCARBOROUGH TOWN SCHOOLS,2947,53004
SCARSDALE UNION FREE SCHOOL DIST,4756,160244
SCHALLER-CRESTLAND COMMUNITY SCHOOL DISTRICT,396,6403
SCHALMONT CENTRAL SCHOOL DIST,1842,50396
SCHAUMBURG COMMUNITY CONSOLIDATED SCHOOL DISTRICT 54,15317,267763
SCHENECTADY CITY DIST,9750,227226
SCHENEVUS CENTRAL SCHOOL DIST,361,10461
SCHERTZ-CIBOLO-UNVRSL CTY IND SCHOOL DIST 902,15818,164878
SCHILLER PARK SCHOOL DISTRICT 81,1396,23591
SCHLEICHER IND SCHOOL DIST 901,515,6692
SCHLESWIG COMMUNITY SCHOOL DISTRICT,193,4398
SCHLEY CO SCHOOL DIST,1307,14598
SCHODACK CENTRAL SCHOOL DIST,914,24270
SCHOHARIE CENTRAL SCHOOL,885,23835
SCHOOL ADMIN DIST 1,1781,25841
SCHOOL ADMIN DIST 11,2032,27490
SCHOOL ADMIN DIST 12,142,2584
SCHOOL ADMIN DIST 13,177,4056
SCHOOL ADMIN DIST 15,1940,29642
SCHOOL ADMIN DIST 17,3421,46343
SCHOOL ADMIN DIST 19 (MSAD 19/RSU 85),94,2368
SCHOOL ADMIN DIST 20,495,6960
SCHOOL ADMIN DIST 23,629,10046
SCHOOL ADMIN DIST 24,281,4993
SCHOOL ADMIN DIST 27,863,12591
SCHOOL ADMIN DIST 28,741,17278
SCHOOL ADMIN DIST 29,1406,16896
SCHOOL ADMIN DIST 3,1257,22286
SCHOOL ADMIN DIST 30,272,3970
SCHOOL ADMIN DIST 31,453,7331
SCHOOL ADMIN DIST 32,269,5041
SCHOOL ADMIN DIST 33,232,4243
SCHOOL ADMIN DIST 37,681,10087
SCHOOL ADMIN DIST 4,543,8021
SCHOOL ADMIN DIST 40,1905,30825
SCHOOL ADMIN DIST 41,625,10207
SCHOOL ADMIN DIST 42,390,5596
SCHOOL ADMIN DIST 44,727,13016
SCHOOL ADMIN DIST 46,902,17114
SCHOOL ADMIN DIST 49,2109,29822
SCHOOL ADMIN DIST 51,2076,40585
SCHOOL ADMIN DIST 52,2019,30385
SCHOOL ADMIN DIST 53,955,13824
SCHOOL ADMIN DIST 54,2444,41201
SCHOOL ADMIN DIST 55,978,15892
SCHOOL ADMIN DIST 57,2991,45513
SCHOOL ADMIN DIST 58,638,11717
SCHOOL ADMIN DIST 59,622,10895
SCHOOL ADMIN DIST 6,3560,52242
SCHOOL ADMIN DIST 60,3089,46517
SCHOOL ADMIN DIST 61,1707,32990
SCHOOL ADMIN DIST 63,593,10652
SCHOOL ADMIN DIST 64,1084,16145
SCHOOL ADMIN DIST 65,3,118
SCHOOL ADMIN DIST 7,60,2209
SCHOOL ADMIN DIST 70,475,7880
SCHOOL ADMIN DIST 72,1162,20927
SCHOOL ADMIN DIST 74,643,12364
SCHOOL ADMIN DIST 75,2437,43671
SCHOOL ADMIN DIST 76,34,1506
SCHOOL ADMIN DIST 8,163,4279
SCHOOL ADMINISTRATIVE DISTRICT 14,129,2837
SCHOOL ADMINISTRATIVE DISTRICT 35,2140,33946
SCHOOL ADMINISTRATIVE DISTRICT 45,297,4617
SCHOOL CITY OF EAST CHICAGO,3892,57047
"SCHOOL DIST NO 1, DODGE COUNTY",4732,60231
SCHOOL DISTRICT U-46 (ELGIN AREA),37859,677987
SCHOOL OF THE OSAGE SCHOOL DIST R-2,2037,26872
SCHOOLCRAFT COM SCHOOL DIST,1066,12504
SCHROON LAKE CENTRAL SCHOOL DIST,259,8091
SCHULENBURG IND SCHOOL DIST,732,9269
SCHULTER SCHOOL DIST 6,140,1535
SCHUYLER COMMUNITY SCHOOL DISTRICT 123,2034,23907
SCHUYLER SCHOOL DIST R-1,585,6533
SCHUYLER-INDUSTRY COMMUNITY UNIT SCHOOL DISTRICT 5,1024,16664
SCHUYLERVILLE CENTRAL SCHOOL DIST,1545,36987
SCHUYLKILL HAVEN AREA SCHOOL DIST,1194,21780
SCHUYLKILL VAL SCHOOL DIST,2067,39911
SCIENCE HILL IND SCH D,406,6668
SCIO CENTRAL SCH DIST 1,369,10472
SCIO SCHOOL DIST 95,785,9441
SCIOTO VALLEY LOCAL SCHOOL DIST,1197,17826
SCITUATE TOWN SCH,2991,59290
SCITUATE TOWN SCHS,1231,25715
SCOBEY K-12 SCHOOL DISTRICT,279,3983
SCOTCH PLAINS FANWOOD REG SCHOOL DIST,5649,114143
SCOTIA UNION ELEM SCH DIST,176,2545
SCOTIA-GLENVILLE CTL SCH DIST,2487,55707
SCOTLAND CO SCH DIST R 1,602,7260
SCOTLAND CO SCHOOLS,5733,65692
SCOTLAND SCHOOL DISTRICT 4-3,269,3722
SCOTLAND TOWN SCHOOLS,105,3312
SCOTT CITY SCHOOL DISTRICT R 1,815,8735
SCOTT CO SCH BD OF ED,2945,29710
SCOTT CO SCH DIST,9471,112272
SCOTT CO SCH DIST R 4,948,10247
SCOTT COUNTY CENTRAL SCHOOLS,284,3972
SCOTT COUNTY SCHOOL DISTRICT,4095,34614
SCOTT COUNTY SCHOOL DISTRICT 1,1222,14136
SCOTT COUNTY SCHOOL DISTRICT 2,2634,31138
SCOTT COUNTY SCHS,3533,39927
SCOTT COUNTY UNIFIED SCHOOL DISTRICT 466,1017,13757
SCOTT VALLEY UNIFIED SCHOOL DISTRICT,668,11013
SCOTT-MORGAN COMMUNITY UNIT SCHOOL DISTRICT 2,228,3630
SCOTTS VALLEY UNIFIED SCHOOL DISTRICT,2421,31679
SCOTTSBLUFF CITY SD 32,3471,45169
SCOTTSBORO CITY SCHOOL DISTRICT,2492,29837
SCOTTSDALE UNIFIED SCHOOL DISTRICT 48,22256,254833
SCRANTON CITY SCH DIST,10107,161980
SCRANTON SCH DIST,424,5099
SCRANTON SPEC SCH DIST 33,139,2675
SCREVEN CO SCH DIST,2307,29350
SCRIBNER SNYDER SCH DIST 62,204,4419
SCURRY-ROSSER IND SCH DIST 910,1054,12417
SEA GIRT SCH DIST,125,5642
SEABROOK SCH DIST,716,14700
SEAFORD SCH DIST,2269,69051
SEAFORD SCHOOL DISTRICT,3419,53107
SEAGRAVES IND SCH DISTRICT 901,577,9892
SEALY IND SCH DIST 902,2803,33921
SEAMAN UNIFIED SCHOOL DISTRICT 345,4010,46774
SEARCY COUNTY SCHOOL DISTRICT,861,10633
SEARCY SCH DIST,4054,41947
SEASIDE HGHTS BORO SCHOOL DIST,219,4776
SEASIDE SCH DIST 10,1658,27938
SEATTLE SCHOOL DISTRICT 1,55271,1144450
SEBAGO PUBLIC SCHOOLS,95,3933
SEBASTOPOL UNION ELEM SCH DIST,463,11759
SEBEKA IND SCH DIST 820,496,7750
SEBRING LOCAL SCH DIST,409,9117
SECAUCAS TOWN SCH DIST,2286,47431
SEDALIA SCH DIST 200,5057,54432
SEDGWICK PUBLIC SCHOOL DISTRICT 439,458,5894
SEDGWICK TOWN SCHOOLS,142,2641
SEDONA-OAK CREEK JOINT UNIFIED SCHOOL DISTRICT,517,15457
SEDRO WOOLLEY SCHOOL DISTRICT 101,4697,74000
SEEKONK TOWN SCH,2087,39635
SEELEY LAKE ELEM DIST 34,190,2422
SEELEY UNION ELEM SCH DIST,371,5854
SEGUIN IND SCH DIST 901,7366,85792
SEIAD ELEM SCH DIST,18,398
SEILING SCH DIST 8,469,10901
SELAH SCHOOL DISTRICT 119,3848,54314
SELBY SCHOOL DISTRICT 62-5,193,2846
SELFRIDGE SCHOOL DISTRICT #8,59,2267
SELIGMAN UNIFIED SCHOOL DISTRICT 40,98,3455
SELINSGROVE AREA SCH DIST,2619,44854
SELKIRK SCHOOL DISTRICT 70,287,4972
SELMA CITY SCHOOL DISTRICT,3046,35464
SELMA UNIFIED SCH DIST,6393,98800
SELMAVILLE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 10,281,3259
SEMINOLE CO SCH DIST,1457,18044
SEMINOLE COUNTY SCHOOL DISTRICT,68269,681539
SEMINOLE IND SCH DIST 903,2956,56268
SEMINOLE SCHOOL DISTRICT 1,1648,15442
SEMITROPIC ELEM SCH DIST,214,3068
SENATH -HORNERSVILLE SCH DIST C 8,755,7997
SENATOBIA MUNICIPAL SCHOOL DIST,1644,17275
SENECA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 170,523,11767
SENECA EAST LOCAL SCH DIST,887,12507
SENECA FALLS CTL SCHOOL DIST,1246,31102
SENECA JOINT SCHOOL DISTRICT,290,5094
SENECA SCH DIST R-7,1493,14900
SENECA TOWNSHIP HIGH SCHOOL DISTRICT 160,428,17697
SENECA VALLEY SCHOOL DIST,7247,136650
SENTINEL SCH DIST 1,324,3785
SENTINEL SCHOOL DISTRICT 71,36,1534
SEQUATCHIE CO SCH DIST,2217,22953
SEQUIM SCHOOL DISTRICT 323,2769,41644
SEQUOIA UNION ELEM SCH DIST,358,3906
SEQUOIA UNION HIGH SCHOOL DISTRICT,9385,243931
SEQUOYAH SCH DIST 6,1306,11508
SERGEANT BLUFF-LUTON COMMUNITY SCHOOL DISTRICT,1697,21729
SESSER-VALIER COMMUNITY UNIT SCHOOL DISTRICT 196,627,8035
SEVASTOPOL JOINT SCHOOL DISTRICT 2,613,12945
SEVIER CO SCH DIST,4779,51274
SEVIER CO SCH DIST,14536,172769
SEWANHAKA CTL HIGH SCHOOL DIST,8241,195541
SEWARD CITY SCH DIST 9,1471,20192
SEYMOUR COMMUNITY SCHOOL DISTRICT,251,7071
SEYMOUR COMMUNITY SCHOOL DISTRICT,2218,31076
SEYMOUR COMMUNITY SCHOOLS,4859,55475
SEYMOUR INDEPENDENT SCH DISTRICT 901,582,7744
SEYMOUR SCH DIST R-2,717,8084
SEYMOUR TOWN SCHOOLS,2164,44451
SHADE CENTRAL CITY SCHOOL DIST,404,9280
SHADY GROVE SCH DIST 26,159,1828
SHADY POINT SCH DIST 4,154,1581
SHADYSIDE CITY SCH DIST,802,8884
SHAFFER UNION ELEMENTARY SCHOOL DISTRICT,192,2627
SHAFTSBURY TOWN SCH DIST,255,3674
SHAKAMAK METROPOLITAN SCHOOL DISTRICT,741,8578
SHAKER HGTS CITY SCH DIST,4901,120121
SHAKER REGIONAL SCH DIST,1293,22331
SHAKOPEE IND SCH DIST 720,8319,127159
SHALER AREA SCH DIST,4164,86260
SHALLOWATER IND SCH DIST 909,1694,20094
SHAMOKIN AREA SCH DIST,2252,30489
SHAMONG TWP SCH DIST,746,16698
SHAMROCK IND SCH DIST 902,367,5486
SHANDON UNIF SCH DIST,297,5429
SHANKSVILLE-STONYCREEK SCHOOL DIST,337,7372
SHARON CITY SCH DIST,1934,36736
SHARON JOINT SCHOOL DISTRICT 11,262,5036
SHARON SPRINGS CENTRAL SCHOOL DIST 1,236,9115
SHARON TOWN SCH,3588,75639
SHARON TOWN SCH DIST,202,4521
SHARON TOWN SCHOOLS,115,4872
SHARON-MUTUAL SCH DIST 3,252,4299
SHARPSVILLE AREA SCHOOL DIST,1173,18872
SHARYLAND IND SCH DIST 911,10285,111293
SHASTA CO SPL SCHS OPER BY CO SUPT,182,67248
SHASTA UNION ELEM SCH DIST,114,3717
SHASTA UNION HIGH SCHOOL DIST,5412,78319
SHATTUCK SCH DIST 42,368,6264
SHAW ISLAND SCHOOL DISTRICT 10,10,394
SHAWANO SCHOOL DISTRICT,2460,37289
SHAWNEE COMMUNITY UNIT SCHOOL DISTRICT 84,311,9245
SHAWNEE HEIGHTS UNIFIED SCHOOL DISTRICT 450,3611,41548
SHAWNEE LOCAL SCH DIST,2376,25867
SHAWNEE MISSION UNIFIED SCHOOL DISTRICT 512,27590,346186
SHAWNEE SCH DIST 93,3826,38208
SHAWNEE SCH DIST R 3,43,1009
SHAWSHEEN VALLEY VOC TECH,1294,37360
SHEBOYGAN AREA SCHOOL DISTRICT,10060,145844
SHEBOYGAN FALLS SCHOOL DISTRICT,1688,25506
SHEEPSCOT VALLEY REGIONAL SCHOOL UNIT 12,1299,24037
SHEFFIELD CITY SCHOOL DISTRICT,1054,13943
SHEFFIELD-SHEFFIELD LAKE CITY SCH DIST,1657,23943
SHELBY CITY SCH DIST,1916,26074
SHELBY CO SCH DIST,7224,91479
SHELBY CO SCH DIST C-1,295,4288
SHELBY COUNTY SCHOOL DIST. R-4,735,8960
SHELBY COUNTY SCHOOL DISTRICT,20570,239482
SHELBY COUNTY SCHOOL DISTRICT,112125,1307173
SHELBY COUNTY SOUTHWESTERN CONSOLIDATED SCHOOLS,627,7560
SHELBY EASTERN SCHOOLS,1144,15837
SHELBY ELEM SCH DIST 14,307,4077
SHELBY HIGH SCHOOL DISTRICT #14,115,2852
SHELBY PUBLIC SCHOOLS,1265,16229
SHELBY RISING CITY SCH DIST 32,408,8153
SHELBYVILLE CENTRAL SCHOOL DISTRICT,4071,49994
SHELBYVILLE COMMUNITY UNIT SCHOOL DISTRICT 4,1182,16366
SHELBYVILLE IND SCH DIST 903,783,8813
SHELDON COMMUNITY SCHOOL DISTRICT,1150,15291
SHELDON IND SCH DISTRICT 924,9401,132455
SHELDON SCH DIST R 8,191,2272
SHELDON TOWN SCH DIST,296,5550
SHELL KNOB SCH DIST 78,148,3856
SHELL LAKE SCHOOL,685,10891
SHELLEY SCHOOL DISTRICT 60,2359,16987
SHELTER ISLAND U F SCH DIST,215,11206
SHELTON CITY SCHOOLS,4688,97675
SHELTON SCH DIST 19,298,5028
SHELTON SCHOOL DISTRICT 309,4558,76918
SHENANDOAH COMMUNITY SCHOOL DISTRICT,1140,16171
SHENANDOAH COUNTY SCHS,6030,75466
SHENANDOAH SCHOOL CORPORATION,1416,17231
SHENANDOAH VALLEY SCHOOL DIST,1097,19043
SHENANGO AREA SCH DIST,1106,18984
SHENENDEHOWA CENTRAL SCHOOL DIST,9761,180970
SHEPHERD ELEM SCH DIST 37,571,5791
SHEPHERD H S DIST 37,259,3550
SHEPHERD IND SCH DIST 904,2041,24371
SHEPHERD PUBLIC SCH DIST,1810,20953
SHERBORN TOWN SCH,413,10589
SHERBURNE-EARVLVILLE CENTRAL SCH DIST 1,1397,33710
SHERIDAN CO SCH DIST 1,1018,17265
SHERIDAN CO SCH DIST 2,3532,58886
SHERIDAN CO SCH DIST 3,93,4006
SHERIDAN COMMUNITY SCHOOLS,1040,15445
SHERIDAN ELEM SCH DIST 5,119,1748
SHERIDAN H S DIST 5,60,1570
SHERIDAN SCH DIST,4171,50038
SHERIDAN SCH DIST 48J,959,12803
SHERIDAN SCHOOL DIST 2,1420,23243
SHERMAN BOARD OF EDUCATION,279,10804
SHERMAN CENTRAL SCH DIST,411,10992
SHERMAN COUNTY SCHOOL DIST,270,6172
SHERMAN IND SCH DISTRICT 906,7405,97486
SHERRARD COMMUNITY UNIT SCHOOL DISTRICT 200,1394,21083
SHERRILL CITY SCH DIST,1926,38281
SHERWOOD SCH DIST 88J,5345,79552
SHERWOOD SCH DIST R-8,805,8170
SHICKLEY SCH DIST 54,163,3968
SHIDLER SCH DIST 11,230,2946
SHIELDS VALLEY ELEM SCH DIST,136,1899
SHIELDS VALLEY HIGH SCH DIST,61,1376
SHIKELLAMY SCHOOL DIST,2869,49996
SHILOH COMMUNITY UNIT SCHOOL DISTRICT 1,362,7303
SHILOH ELEMENTARY SCHOOL DISTRICT,175,2383
SHILOH VILLAGE SCHOOL DISTRICT 85,557,8232
SHINER IND SCH DIST 903,666,8864
SHIOCTON JOINT SCHOOL DISTRICT 2,699,10583
SHIPPENSBURG AREA SCHOOL DIST,3366,52655
SHIRLAND COMMUNITY CONSOLIDATED SCHOOL DISTRICT 134,109,1689
SHIRLEY SCH DIST 3,354,4846
SHOALS COMMUNITY SCHOOL CORPORATION,642,7569
SHORE REGIONAL HIGH SCHOOL DISTRICT,669,20744
SHOREHAM-WADING RIVER CENTRAL SCH DIST,2115,71670
SHORELINE SCHOOL DISTRICT 412,9899,188421
SHORELINE UNIFIED SCH DIST,508,17578
SHOREWOOD SCHOOL DISTRICT,2036,34964
SHOSHONE JOINT SCHOOL DISTRICT 312,508,4829
SHOW LOW UNIFIED SCHOOL DISTRICT 10,2516,20928
SHREWSBURY BORO SCH DIST,479,10338
SHREWSBURY TOWN SCHS,6207,112210
SHULLSBURG CITY SCHOOL DISTRICT,370,5882
SHUTESBURY ELEMENTARY SCHOOL,128,3134
SIBLEY EAST SCHOOL DISTRICT,1150,17008
SIBLEY-OCHEYEDAN COMMUNITY SCHOOL DISTRICT,797,10647
SIDNEY CENTRAL SCH DIST,1134,31231
SIDNEY COMMUNITY SCHOOL DISTRICT,534,8264
SIDNEY CTY SCH DIST,3205,42305
SIDNEY ELEM SCH DIST 5,934,9650
SIDNEY H S DIST 1,387,8291
SIDNEY IND SCH DISTRICT 905,139,1906
SIDNEY SCH DIST 1,1312,16551
SIERRA BLANCA IND SCH DIST 902,113,2480
SIERRA GRANDE SCH DIST R-30,293,4913
SIERRA PLUMAS JT UNIFIED SCH DIST,407,6564
SIERRA SANDS UNIFIED SCHOOL DISTRICT,5118,70303
SIERRA UNIFIED SCHOOL DISTRICT,1271,19160
SIERRA VISTA UNIFIED SCHOOL DISTRICT 68,5589,45721
SIGEL TOWNSHIP SCH DIST 4F,31,288
SIGEL TWP SCH DIST 3,20,637
SIGNAL HILL SCHOOL DISTRICT 181,341,5503
SIGOURNEY COMMUNITY SCHOOL DISTRICT,568,7758
SIKESTON SCH DIST R 6,3455,35316
SILEX SCH DIST R 1,430,4959
SILO SCH DIST 1,944,9210
SILOAM SPGS SCH DIST 21,4413,47720
SILSBEE IND SCH DIST 904,2968,36759
SILVER CONSOLIDATED SCHOOL DISTRICT,2482,30262
SILVER CREEK CENTRAL SCH DIST,1095,27105
SILVER FALLS SCHOOL DISTRICT 4J,3983,49950
SILVER FORK ELEM SCH DIST,13,529
SILVER GROVE IND SCH DIS,191,4061
SILVER LAKE REG SCH DIST,1755,36716
SILVER LAKE UNIFIED SCHOOL DISTRICT 372,726,9356
SILVER LAKE-SALEM SCHOOL DISTRICT 1,475,6483
SILVER VLY UNIFIED SCHOOL DIST,2167,36816
SILVERLAKE PUBLIC SCH DISTRICT 123,247,5110
SILVERTON ISD 902,191,3449
SILVERTON PUB SCH DIST 1,69,2144
SILVIS SCHOOL DISTRICT 34,636,9944
SIMI VALLEY UNIFIED SCH DIST,16451,230181
SIMMS IND SCH DIST 909,517,6347
SIMPSON CO SCH DIST,3607,36087
SIMPSON CO SCH DIST,3001,38106
SIMSBURY PUBLIC SCHOOLS,4059,89837
SINTON IND SCH DIST 906,2139,29552
SIOUX CENTER COMMUNITY SCHOOL DISTRICT,1534,21201
SIOUX CENTRAL COMMUNITY SCHOOL DISTRICT,667,9355
SIOUX CITY COMMUNITY SCHOOL DISTRICT,14976,198463
SIOUX CO HIGH SCH DIST 500,100,3212
SIOUX FALLS SCHOOL DISTRICT 49-5,25018,274720
SIOUX VALLEY SCHOOL DISTRICT 5-5,680,7619
SIREN SCHOOL DISTRICT,469,8872
SISKIYOU UNION HIGH SCHOOL DIST,569,10389
SISSETON SCHOOL DISTRICT 54-2,916,15757
SISTERS SCH DIST 6,1085,16748
SITKA BOROUGH SCHOOLS,1218,28107
SIUSLAW SCH DIST 97J,1357,20465
SIVELLS BEND IND SCH DIST 909,68,1674
SKAGWAY SCHOOL DISTRICT,141,3369
SKAMANIA SCHOOL DISTRICT 2,83,1559
SKANEATELES CENTRAL SCH,1337,35461
SKIATOOK SCH DIST 7,2418,23614
SKIDMORE-TYNON IND SCH DISTRICT 905,834,10924
SKOKIE COMMUNITY SCHOOL DISTRICT 73-5,1120,28461
SKOKIE SCHOOL DISTRICT 68,1812,49261
SKOKIE SCHOOL DISTRICT 69,1735,38482
SKOKIE-FAIRVIEW SCHOOL DISTRICT 72,715,17330
SKULL VALLEY SCHOOL DISTRICT 15,20,604
SKYKOMISH SCHOOL DISTRICT 404,57,2853
SKYLINE SCH DIST R 2,95,1256
SKYLINE UNIFIED SCHOOL DISTRICT 438,403,5551
SLATE VALLEY UNIFIED SCH DIST,1140,21145
SLATER SCH DIST,357,4178
SLATON IND SCH DIST 903,1344,19790
SLEEPY EYE SCH DIST 84,609,8404
SLIDELL IND SCH DIST 908,271,4232
SLINGER SCHOOL DISTRICT,3368,40335
SLIPPERY ROCK AREA SCHOOL DIST,1953,33189
SLOAN HENDRIX SCH DIST,758,7647
SLOCUM IND SCH DIST 909,406,4897
SMACKOVER SCH DIST 39,1195,13148
SMEE SCHOOL DISTRICT 15-3,179,4655
SMETHPORT AREA SCH DIST,795,16053
SMITH CENTER UNIFIED SCHOOL DISTRICT 237,439,6343
SMITH CO SCH DIST,3054,32789
SMITH COUNTY SCHOOL DISTRICT,2664,24226
SMITH VALLEY ELEM DIST 89,227,2285
SMITHFIELD SCH DIST,2413,44242
SMITH-GREEN COMMUNITY SCHOOL DISTRICT,1178,14381
SMITHTON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 130,545,6685
SMITHTON SCH DIST R 6,554,5405
SMITHTOWN CTL SCH DIST,8727,253879
SMITHVILLE IND SCH DIST 904,1802,22610
SMITHVILLE SCH DIST 14,288,4451
SMITHVILLE SCH DIST R-2,2637,31919
SMYER IND SCH DIST 906,436,5871
SMYRNA SCHOOL DISTRICT,5691,79190
SMYTH COUNTY SCHS,4332,51719
SNAKE RIVER SCHOOL DISTRICT 52,1802,15640
SNELLING-MERCED FALLS UNION ELEM SCH DIST,78,1145
SNOHOMISH SCHOOL DISTRICT 201,10095,184066
SNOOK IND SCH DIST 903,513,8393
SNOQUALMIE VALLEY SCHOOL DISTRICT 410,7214,128826
SNOWFLAKE UNIFIED SCHOOL DISTRICT 5,2588,20050
SNOWLINE JOINT UNIF SCH DIST,7439,100758
SNYDER IND SCH DIST 902,2659,40599
SNYDER SCH DIST 4,466,5245
SOAP LAKE SCHOOL DISTRICT 156,558,8730
SOCIAL CIRCLE IND SCH DIST,1788,20367
SOCORRO CONSOLIDATED SCHOOL DISTRICT,1654,24983
SOCORRO IND SCH DISTRICT 909,46814,503620
SODA SPRINGS JOINT SCH DISTRICT 150,906,8895
SODUS CENTRAL SCHOOL DISTRICT,1082,30470
SODUS TWP SCHOOL DISTRICT 5,73,781
SOLANA BEACH ELEM SCH DIST,2891,64730
SOLANCO SCHOOL DISTRICT,3355,59009
SOLANO CO SPL SCHS OPER BY CO SUPT,397,73085
SOLEDAD UNIFIED SCHOOL DISTRICT,4905,77694
SOLEN SCHOOL DISTRICT #3,211,6804
SOLOMON UNIFIED SCHOOL DISTRICT 393,338,4531
SOLOMONVILLE SCHOOL DISTRICT 5,205,2685
SOLON CITY SCH DIST,4535,78744
SOLON COMMUNITY SCHOOL DISTRICT,1531,20707
SOLON SPRINGS SCHOOL DISTRICT,273,5045
SOLVANG ELEM SCH DIST,605,7144
SOLVAY UNION FREE VILLAGE SCHOOL DIST,1482,35660
SOMERDALE BORO SCH DIST,499,10296
SOMERS CENTRAL SCH DIST,2965,93772
SOMERS ELEM DIST 29,561,6926
SOMERS POINT CITY SCH DIST,894,21728
SOMERS PUBLIC SCHOOLS,1374,28269
SOMERSET AREA SCH DIST,2063,39354
SOMERSET BERKLEY REGIONAL SCHOOL DISTRICT,1037,21118
SOMERSET CO SCHS,2930,77151
SOMERSET COUNTY VOCATIONAL SCHOOLS,301,18413
SOMERSET HILLS SCHOOL DISTRICT,1971,49169
SOMERSET IND SCH DIST,1660,24409
SOMERSET IND SCH DIST 909,4158,48181
SOMERSET PUBLIC SCHOOLS,1771,31646
SOMERSET SCHOOL DISTRICT,1499,22849
SOMERSWORTH CITY SCHOOL DISTRICT,1504,28306
SOMERTON SCHOOL DISTRICT 11,3059,24919
SOMERVILLE BORO SCH DIST,2398,52287
SOMERVILLE CITY SCH,4909,125386
SOMERVILLE IND SCH DIST 902,529,7464
SOMIS UNION ELEM SCH DIST,238,3776
SOMONAUK COMMUNITY UNIT SCHOOL DISTRICT 432,823,14074
SONOITA SCHOOL DISTRICT 25,128,2291
SONOMA CO SPL SCHS,547,138980
SONOMA VALLEY UNIF SCH DIST,3873,73122
SONORA ELEM SCH DIST,742,9725
SONORA IND SCH DIST 901,808,11146
SONORA UNION HIGH SCHOOL DIST,1051,16442
SOPER SCH DIST 4,347,3677
SOQUEL UNION ELEM SCH DIST,1894,26120
SOUDERTON AREA SCH DIST,6481,131139
SOUHEGAN COOP DISTRICT,743,17958
SOULSBYVILLE EL SCH DIST,539,6392
SOUTH ADAMS SCHOOL DISTRICT,1247,16722
SOUTH ALLEGHENY SCH DIST,1531,29202
SOUTH AMBOY CITY SCHOOL DIST,1108,21611
SOUTH BARBER COUNTY UNIFIED SCHOOL DISTRICT 255,255,3989
SOUTH BAY UNION ELEM SCH DIST,472,7469
SOUTH BAY UNION SCHOOL DISTRICT,7199,114451
SOUTH BELOIT COMMUNITY UNIT SCHOOL DISTRICT 320,926,13547
SOUTH BEND COMMUNITY SCHOOL CORPORATION,17225,246517
SOUTH BEND SCHOOL DISTRICT 118,651,12932
SOUTH BERKSHIRE REG SCH DIST,688,20326
SOUTH BOUND BROOK BORO SCHOOL DIST,423,11926
SOUTH BRISTOL TOWN SCHOOLS,89,1789
SOUTH BROWN COUNTY UNIFIED SCHOOL DISTRICT 430,523,8234
SOUTH BRUNSWICK TWP SCH DIST,8623,174032
SOUTH BURLINGTON CITY SCHOOL DIST,2759,55057
SOUTH BUTLER CO SCH,2243,36348
SOUTH CALLAWAY SCHOOL DIST R-2,782,11389
SOUTH CARROLL SPECIAL SCHOOL DIST,352,3699
SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT,959,13144
SOUTH CENTRAL COMMUNITY SCHOOL CORPORATION,937,10386
SOUTH CENTRAL COMMUNITY UNIT SCHOOL DISTRICT 401,638,9384
SOUTH CENTRAL LOCAL SCHOOL DIST,744,11112
SOUTH CENTRAL NE UNIFIED SYSTEM 5,686,14835
SOUTH CENTRAL SCHOOL DISTRICT 26-5,96,2201
SOUTH COFFEYVILLE SCHOOL DIST 51,216,2329
SOUTH COLONIE CENTRAL SCH DIST,4789,104825
SOUTH CONEJOS SCH DIST RE-10,167,4260
SOUTH CONWAY CO SCH DIST,2334,27609
SOUTH COUNTRY CENTRAL SCHOOL DIST,4246,131959
SOUTH DEARBORN COMMUNITY SCHOOL CORPORATION,2345,30293
SOUTH DELTA SCH DISTRICT,808,10393
SOUTH EASTERN GREENE SCHOOL DIST,567,12131
SOUTH EASTERN SCHOOL DISTRICT,2516,56147
SOUTH EUCLID-LYNDHURST CITY SCH DIST,3369,64967
SOUTH FAYETTE TWP SCH DIST,3368,58504
